"region","byggår","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"0180C1650","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C1650","2011-2020",..,..,..,1,1,2,2,2,2,3,3,3,3,3
"0180C1650","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,2,3
"0180C1660","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1660","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1660","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1670","2001-2010",32,32,32,31,31,32,32,32,31,32,32,32,32,32
"0180C1670","2011-2020",1,2,3,3,4,4,9,9,9,17,18,18,19,19
"0180C1670","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1680","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1680","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1680","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1690","2001-2010",3,3,3,3,3,3,3,3,3,3,3,3,3,3
"0180C1690","2011-2020",..,..,..,..,1,1,1,1,7,7,7,7,7,7
"0180C1690","2021-2030",..,..,..,..,..,..,..,..,..,..,..,3,4,4
"0180C1700","2001-2010",11,11,11,11,11,11,11,11,11,11,11,11,11,11
"0180C1700","2011-2020",3,3,4,4,4,4,4,5,5,7,8,8,8,8
"0180C1700","2021-2030",..,..,..,..,..,..,..,..,..,..,..,1,1,2
"0180C1710","2001-2010",5,5,5,5,5,5,5,5,5,5,5,5,5,5
"0180C1710","2011-2020",2,2,2,2,2,6,6,6,6,6,6,6,6,6
"0180C1710","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1720","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1720","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1720","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1730","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1730","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1730","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1740","2001-2010",1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0180C1740","2011-2020",..,..,..,..,..,4,12,12,12,12,12,12,12,12
"0180C1740","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1750","2001-2010",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1750","2011-2020",..,..,..,..,..,..,..,..,..,..,..,..,..,..
"0180C1750","2021-2030",..,..,..,..,..,..,..,..,..,..,..,..,..,..
